Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,TPSA,QED,N_RotBonds,logp_cnn_per_mw
[H]C#CSc1c([H])c([H])n(-c2nnn([H])n2)c(=O)c1C(=O)N([H])N([H])n1nc([H])c(N(OC([H])([H])c2c([H])c([H])nc([H])c2[H])C(=O)c2oc([H])c([H])c2[H])c1[H],4239,fegrow_gen/c1(C(=O)NNn2cc(N(C(=O)c3ccco3)OCc3ccncc3)cn2)c(SC#C)ccn(-c2nn[nH]n2)c1=O.sdf,6.40246,-0.275694321983526,542.392,14,3,0.884999999999999,False,False,True,False,7.58755464144186,190.98,0.1245399891933658,10,0.275694321983526
[H]c1nc(N([H])[H])nc(C([H])([H])[C@]([H])(c2c([H])c(C([H])([H])N([H])C([H])([H])N([H])[H])c([H])n([H])c2=O)C([H])([H])C([H])([H])c2c([C@@]3([H])C([H])([H])[C@@]3([H])N([H])[H])c([H])c([H])c3c([H])c(C(=O)c4c([H])c([H])c(F)c([H])c4[H])c([H])nc23)c1[H],283,fegrow_gen/c1([C@@H](Cc2ccnc(N)n2)CCc2c([C@H]3C[C@H]3N)ccc3cc(C(=O)c4ccc(F)cc4)cnc23)cc(CNCN)c[nH]c1=O.sdf,7.10365,-0.419735666853852,571.426,9,5,3.4449,True,False,True,True,8.61705023228666,178.69,0.1050585763046086,12,0.419735666853852
[H]c1oc([H])c(C([H])([H])C([H])([H])[C@@]([H])(c2c([H])c(N3C(=O)C([H])([H])C([H])([H])C3([H])[H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])c1[H],576,fegrow_gen/c1([C@@H](Cc2cccc(C(N)=O)c2)CCc2ccoc2)cc(N2CCCC2=O)c[nH]c1=O.sdf,6.96306,-0.276379900458359,394.281,4,2,3.1527,True,False,False,False,7.53353661797992,109.4,0.5843646732723818,8,0.276379900458359
[H]O[C@]([H])(N([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])[C@]([H])(c1c([H])nnc(N=C=S)c1[H])C([H])([H])N(OC([H])([H])C#N)C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1[H],12709,fegrow_gen/c1cc(C=CC(=O)N(OCC#N)C[C@H](C(O)Nc2ccc(OC)cc2)c2cc(N=C=S)nnc2)c[nH]c1=O.sdf,5.52684,-0.392340464567312,510.386,11,3,2.41908,False,True,True,True,7.83247770439432,165.81999999999996,0.1034363911477267,12,0.392340464567312
[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])n1c(N([H])S(=O)(=O)N([H])[H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])[H])S(=O)(=O)N([H])[H])c1=O,12536,fegrow_gen/c1([C@@H](C)[C@H](C)S(N)(=O)=O)ccc(NS(N)(=O)=O)n([C@H](O)c2ccccc2)c1=O.sdf,5.55227,-0.1855372704162041,408.332,7,4,-0.2166,True,False,False,False,7.83264809608238,174.57999999999998,0.472180465023173,7,0.1855372704162041
[H]ON([H])C(=O)C([H])=C(c1c([H])c([H])c(=O)n([H])c1[H])N1C([H])([H])C([H])([H])N(C([H])([H])c2c(F)c([H])c([H])c(C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2F)C([H])([H])C1([H])[H],12367,fegrow_gen/c1cc(C(=CC(=O)NO)N2CCN(Cc3c(F)ccc(Cc4ccccc4)c3F)CC2)c[nH]c1=O.sdf,5.57733,-0.3910231353679793,454.307,5,3,2.908,True,False,True,False,6.82411818463821,88.66999999999999,0.2750311194258024,7,0.3910231353679793
[H]c1c(N([H])N([H])C(=O)c2c(C([H])([H])C#N)c(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])n(C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2=O)nn(C([H])([H])[H])c1[H],11841,fegrow_gen/c1(C(=O)NNc2ccn(C)n2)c(CC#N)c(CCNC(C)=O)cn(C(=O)NC2CCCC2)c1=O.sdf,5.65188,-0.2415946827308566,440.294,9,4,0.58368,True,False,True,False,6.70447619435705,162.94,0.4118316698616621,8,0.2415946827308566
[H]C(=O)c1c([H])c([H])c([C@@]([H])(Sc2c([H])c([H])n([H])c(=O)c2[H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1Cl,11775,fegrow_gen/c1c(SC(c2ccc(C=O)c(Cl)c2)CCN2CCCCC2)cc[nH]c1=O.sdf,5.65962,-0.4001939787878116,367.752,4,1,4.5502,True,False,True,True,7.41308362504682,53.17,0.556211036873882,7,0.4001939787878116
[H]OC([H])([H])C([H])([H])C([H])([H])N(OC([H])([H])C#N)C(=O)C([H])=C([H])c1c(C([H])=C([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c(=O)n([H])c1C([H])([H])N([H])C([H])([H])C([H])([H])OC([H])([H])[H],11686,fegrow_gen/c1c(C=Cc2ccccc2)c(C=CC(=O)N(OCC#N)CCCO)c(CNCCOC)[nH]c1=O.sdf,5.67148,-0.3192202029092312,436.298,7,3,1.96068,True,False,True,False,7.7539215445167,127.68,0.2205863370540736,14,0.3192202029092312
[H]c1nc(N([H])[H])nc(C([H])([H])[C@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[C@@]([H])(c2c([C@@]3([H])C([H])([H])[C@@]3([H])N([H])[H])c([H])c([H])c3c([H])c([H])c([H])nc23)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1[H],510,fegrow_gen/c1([C@@H](Cc2ccnc(N)n2)CC(c2c([C@H]3C[C@H]3N)ccc3cccnc23)NC2CCCCC2)ccc[nH]c1=O.sdf,6.98785,-0.4267385289322615,486.389,7,4,4.4899,True,False,False,False,8.82475807284608,135.6,0.2537503224405942,9,0.4267385289322615
[H]c1nc(N([H])[H])c([H])c([H])c1Sc1c([H])c([H])n([H])c(=O)c1C(=O)N([H])N([H])[C@@]([H])(N([H])C([H])([H])C([H])([H])N([H])[H])n1c([H])nc([H])c1[H],11678,fegrow_gen/c1(C(=O)NN[C@H](n2ccnc2)NCCN)c(Sc2ccc(N)nc2)cc[nH]c1=O.sdf,5.67231,-0.1684561107217382,394.315,10,6,-0.3612,True,False,True,True,7.05035425155664,168.77000000000004,0.2017515293509954,9,0.1684561107217382
[H]c1sc(C(=O)N([H])c2c([H])c(OC([H])([H])[C@]([H])(OSc3c([H])c([H])n([H])c(=O)c3C(=O)N([H])N([H])[H])C([H])([H])C([H])([H])N([H])C([H])([H])[H])c([H])c3c([H])nn([H])c23)c([H])c1[H],11647,fegrow_gen/c1(C(=O)NN)c(SO[C@@H](COc2cc(NC(=O)c3cccs3)c3[nH]ncc3c2)CCNC)cc[nH]c1=O.sdf,5.67683,-0.3786237186539593,518.431,10,6,2.2493,False,False,True,True,7.56196487938081,176.25000000000003,0.0676979316907226,12,0.3786237186539593
[H]c1sc(C([H])([H])N([H])C([H])([H])[C@]([H])(OC(=O)N([H])Sc2c([H])c([H])n([H])c(=O)c2[H])N([H])c2c([H])c([H])c(F)c([H])c2[H])c([H])c1[H],11519,fegrow_gen/c1c(SNC(=O)OC(CNCc2cccs2)Nc2ccc(F)cc2)cc[nH]c1=O.sdf,5.69117,-0.3929560287096051,415.366,7,4,3.5368,True,False,True,True,6.57604667917051,95.25,0.3040127844761541,9,0.3929560287096051
[H]OC(=O)[C@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])Sc2c([H])c(N=C=S)n([H])c(=O)c2[H])[C@@]1([H])c1c([H])nc(N([H])[H])nc1[H],11395,fegrow_gen/c1c(SN[C@H]2CC[C@@H](C(=O)O)C2c2cnc(N)nc2)cc(N=C=S)[nH]c1=O.sdf,5.70824,-0.2733752675133357,388.349,9,4,1.7251,True,False,True,True,7.05161553891302,146.34999999999997,0.3208917181668917,6,0.2733752675133357
[H]ON(C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1[H])C([H])([H])C([H])([H])[C@]([H])(O[H])N1C([H])([H])C([H])([H])N(c2nc([H])c(-c3c([H])sc([H])c3[H])c([H])c2[H])C([H])([H])[C@@]1([H])n1nc([H])c([H])c1[H],11316,fegrow_gen/c1cc(C=CC(=O)N(O)CC[C@H](O)N2CCN(c3ccc(-c4ccsc4)cn3)C[C@H]2n2cccn2)c[nH]c1=O.sdf,5.71732,-0.4034716722489109,518.409,10,3,2.6554,True,False,True,True,8.34851371658138,130.82,0.1656604512332527,9,0.4034716722489109
[H]OC(=O)ON([H])C(=O)C([H])([H])[C@]([H])(C(=O)O[H])c1c([H])c(Sc2c([H])c([H])c(Cl)c(Cl)c2[H])c(-n2nc([H])nc2[H])c(=O)n1[H],11295,fegrow_gen/c1(-n2cncn2)c(Sc2ccc(Cl)c(Cl)c2)cc([C@H](CC(=O)NOC(=O)O)C(=O)O)[nH]c1=O.sdf,5.71982,-0.3976288828202325,501.199,9,4,2.6977,False,False,True,False,7.25948856790585,176.49999999999997,0.3429845599347922,7,0.3976288828202325
[H]c1nc([C@]2([H])N(c3c([H])c([H])n([H])c(=O)c3[H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])N([H])C([H])([H])[C@]([H])(N(C([H])([H])[H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C([H])([H])[H])C2([H])[H])c([H])c([H])c1C([H])([H])[H],11233,fegrow_gen/c1c(N2CCN(C(CNC[C@@H](CC)N(C)Cc3ccccc3)=O)CC2c2ccc(C)cn2)cc[nH]c1=O.sdf,5.7269,-0.3933737887197677,464.359,6,2,2.96842,True,False,False,False,8.67032001090632,84.57000000000001,0.4435528538665242,10,0.3933737887197677
[H]OC(=O)[C@]1([H])C([H])([H])[C@@]([H])(N([H])C(=O)N([H])C([H])([H])C([H])([H])C(=NN([H])C(=S)N([H])[H])C([H])([H])[H])[C@]([H])(N([H])Sc2c([H])c(N=C=S)n([H])c(=O)c2[H])[C@@]1([H])c1c([H])nc(N([H])[H])nc1[H],2307,fegrow_gen/c1c(SN[C@H]2[C@H](NC(=O)NCCC(C)=NNC(N)=S)C[C@@H](C(=O)O)[C@@H]2c2cnc(N)nc2)cc(N=C=S)[nH]c1=O.sdf,6.62318,-0.2633183209051803,578.516,12,8,0.602,False,False,True,True,8.39232592252711,237.89000000000004,0.0758637225586218,11,0.2633183209051803
[H]C(=C([H])C1([H])C([H])([H])N(c2c([H])c(C([H])([H])C(=O)N([H])[H])c([H])n(C(=O)N([H])[C@@]3([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])[C@]3([H])c3oc([H])c([H])c3[H])c2=O)C1([H])[H])c1c([H])c([H])c([H])c([H])c1[H],850,fegrow_gen/c1(N2CC(C=Cc3ccccc3)C2)cc(CC(N)=O)cn(C(=O)N[C@H]2CC[C@H](C(=O)NC3CCCC3)[C@@H]2c2ccco2)c1=O.sdf,6.88141,-0.4438062251998887,558.404,7,3,3.7976,True,False,False,False,8.8213950805225,139.67000000000002,0.3429823676292019,9,0.4438062251998887
[H]OC(=O)[C@@]([H])(O[C@@]1([H])C([H])([H])[C@@]([H])(C2([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])[C@]([H])(C([H])([H])N([H])C([H])([H])C([H])([H])[H])[C@]1([H])N([H])Sc1c([H])c(N=C=S)n([H])c(=O)c1[H])C([H])([H])N([H])c1c([H])c([H])c([H])c([H])c1[H],10834,fegrow_gen/c1c(SN[C@H]2[C@@H](CNCC)[C@H](C3CCN(C)CC3)C[C@@H]2OC(C(=O)O)CNc2ccccc2)cc(N=C=S)[nH]c1=O.sdf,5.77332,-0.4845987473770816,560.491,10,5,3.6124,False,False,True,True,8.98622116358478,131.07999999999998,0.1245269671728203,14,0.4845987473770816
[H]c1nc(OC([H])([H])[H])c(-c2nc([C@@]([H])(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(c3c([H])nc([H])c4c([H])c([H])c([H])c([H])c34)[C@@](c3c([H])c(C([H])([H])Cl)c([H])n([H])c3=O)(C([H])([H])[H])C([H])(F)F)n([H])c2[H])c([H])c1[H],463,fegrow_gen/c1([C@@](C)(C([C@H](NCCCC)c2nc(-c3cccnc3OC)c[nH]2)c2cncc3ccccc23)C(F)F)cc(CCl)c[nH]c1=O.sdf,7.00415,-0.6450525625557598,585.852,6,3,6.89320000000001,False,False,True,True,8.64927496379342,108.57999999999998,0.0976708709728348,13,0.6450525625557598
[H]ON([H])C(=O)C([H])=C(Br)c1c([H])c(-c2sc([H])nc2[H])c(=O)n(N(C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])O[H])c2nn([H])c([H])c2[H])c1[H],10646,fegrow_gen/c1(-c2cncs2)cc(C(=CC(=O)NO)Br)cn(N(C(=O)[C@H](C)CC(=O)NCCO)c2cc[nH]n2)c1=O.sdf,5.79362,-0.2971478422326976,558.245,10,5,0.867099999999999,True,False,True,False,7.02895555398663,182.54,0.1329823790145727,10,0.2971478422326976
[H]ON([H])C(=O)C([H])=C([H])c1c(N(C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(O[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c(=O)n1[H],10572,fegrow_gen/c1([C@@H](C)CC)cc(N(C2CCCC2)[C@@H](O)c2ccccc2)c(C=CC(=O)NO)[nH]c1=O.sdf,5.80207,-0.3832810226732503,394.281,5,4,3.8471,True,False,True,True,8.45663363417701,105.66,0.2225171928408017,8,0.3832810226732503
[H]c1c([H])c(C([H])([H])[H])c([H])c([C@@]2([H])C([H])([H])[C@]([H])(N([H])Sc3c([H])c(N=C=S)n([H])c(=O)c3[H])[C@@]([H])(OC([H])([H])C([H])([H])N([H])[H])[C@]2([H])OC([H])([H])C(=O)OOC([H])([H])C([H])([H])[H])c1[H],10539,fegrow_gen/c1c(SN[C@H]2CC(c3cccc(C)c3)[C@@H](OCC(=O)OOCC)[C@@H]2OCCN)cc(N=C=S)[nH]c1=O.sdf,5.80573,-0.4015716252561632,504.42,11,3,2.79422,False,False,True,True,8.53833318976696,137.26,0.1156297464094012,13,0.4015716252561632
[H]ON([H])C(=O)C([H])=C(Br)c1c([H])c([H])c(=O)n(N([H])C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])O[H])c1[H],13402,fegrow_gen/c1cc(C(=CC(=O)NO)Br)cn(NC(=O)[C@H](C)CC(=O)NCCO)c1=O.sdf,5.40726,-0.163003689107621,412.091,7,5,-0.7057,True,False,True,False,5.76165441665603,149.76,0.2086818166101755,8,0.163003689107621
[H]O[C@@]([H])(n1c([H])nc([H])c1C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])OSc1c([H])c([H])n([H])c(=O)c1C(=O)N([H])N([H])N([H])[C@]1([H])N=C(N([H])[H])OC1([H])[H],10215,fegrow_gen/c1(C(=O)NNN[C@H]2COC(N)=N2)c(SOC[C@@H](O)n2c(CCN3CCCCC3)cnc2)cc[nH]c1=O.sdf,5.83999,-0.1710034895501867,490.356,13,6,-0.775399999999999,False,False,True,True,8.37809386932855,184.15,0.1521390144266642,12,0.1710034895501867
[H]c1c(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])n(C(=O)N(N2C([H])([H])C([H])([H])[C@]3([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@]23[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(=O)c1[H],10188,fegrow_gen/c1cc(CCNC(C)=O)cn(C(=O)N(C2CCCC2)N2CC[C@@H]3CN(C)C[C@H]23)c1=O.sdf,5.84247,-0.2406272737336842,382.274,6,1,1.2905,True,False,False,False,8.45223885913978,77.89000000000001,0.7842210840264808,5,0.2406272737336842
[H]C([H])=C([H])C([H])([H])OC([H])([H])[C@@]([H])([C@@]1([H])C([H])([H])N([H])[C@@]([H])(C([H])([H])C(=O)N([H])C([H])([H])[H])C1([H])[H])[C@@]([H])(c1c(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])[H])C2([H])[H])c([H])c([H])n([H])c1=O)C([H])([H])[H],10135,fegrow_gen/c1([C@@H](C)[C@@H](COCC=C)[C@@H]2C[C@H](CC(=O)NC)NC2)c(OCCN2C[C@H](NC(=O)CC)CC2)cc[nH]c1=O.sdf,5.84828,-0.303345483060985,486.338,7,4,1.3907,True,False,True,False,9.04093156013065,124.79,0.1991493812087063,15,0.303345483060985
[H]O[C@](C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])(C([H])([H])[C@@]([H])(c1c([H])c(C([H])=O)c([H])n([H])c1=O)C([H])([H])[H])[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],13495,fegrow_gen/c1([C@@H](C)C[C@@](C2CCCC2)(O)[C@H](C)c2ccccc2)cc(C=O)c[nH]c1=O.sdf,5.38779,-0.3776763281781463,338.257,3,2,4.406,True,False,True,True,8.48302570862729,70.16,0.7124307375691794,7,0.3776763281781463
[H]c1c([H])c(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])N([H])C([H])([H])c2c(C([H])(F)F)c([H])c(=O)n([H])c2[H])c1[H],13496,fegrow_gen/c1c(C(F)F)c(CNCc2cccc(C(CCCCCCC)=O)c2)c[nH]c1=O.sdf,5.3875,-0.4458296388132878,362.25,3,2,5.1455,True,False,False,False,7.26061096043037,61.96,0.3893410617941369,12,0.4458296388132878
[H]c1nc(C([H])([H])[C@@]2(N([H])[H])C([H])([H])[C@]2([H])c2c([H])c([H])c3c([H])c([H])c([H])nc3c2C([H])([H])[C@]([H])(c2c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c2[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])N([H])N([H])[H])c([H])c([H])c1[H],2870,fegrow_gen/c1([C@@H](CNN)C(Cc2c([C@H]3C[C@]3(N)Cc3ccccn3)ccc3cccnc23)c2cc(OC)cc(OC)c2)ccc[nH]c1=O.sdf,6.55302,-0.4894739208882578,552.424,8,4,4.33620000000001,True,False,True,True,8.84710867556434,141.17000000000002,0.1242848771629019,12,0.4894739208882578
[H]ON([H])C(=O)C(=C(Br)c1c([H])c([H])c(=O)n(N([H])C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])O[H])c1[H])c1c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c1[H],9639,fegrow_gen/c1cc(C(=C(C(=O)NO)c2cccc(NC(C)=O)c2)Br)cn(NC(=O)[C@H](C)CC(=O)NCCO)c1=O.sdf,5.89689,-0.2822909821176901,538.185,8,6,0.7801,False,False,True,False,7.58423097514672,178.86,0.1402387229831133,10,0.2822909821176901
[H]c1c([H])c(ON(C(=O)c2c(OC([H])([H])C([H])([H])F)c(Br)c([H])n([H])c2=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],13591,fegrow_gen/c1(C(=O)N(CCCC)Oc2cccc(C)c2)c(OCCF)c(Br)c[nH]c1=O.sdf,5.36636,-0.4448281695534348,419.121,4,1,4.03042,True,False,True,False,7.85647172669357,71.63,0.5969511958005989,9,0.4448281695534348
[H]ON([H])C(=O)C([H])=C([H])c1c([H])c(N(C([H])([H])c2c([H])c([H])c([C@@]3([H])C([H])([H])N([H])C([H])([H])[C@]3([H])N([H])c3c([H])c([H])c([H])c([H])c3C(=O)N([H])[H])c([H])c2[H])[C@@]([H])(C(=O)C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(=O)n([H])c1[H],1133,fegrow_gen/c1(N([C@@H](C(C)=O)C2CCCCC2)Cc2ccc([C@@H]3C(Nc4ccccc4C(N)=O)CNC3)cc2)cc(C=CC(=O)NO)c[nH]c1=O.sdf,6.81655,-0.4553391239208912,584.422,8,6,3.7044,False,False,True,False,8.92570581766023,169.64999999999998,0.1004445354390103,12,0.4553391239208912
[H]ON([H])C(=O)C([H])=C(c1c([H])c([H])c(=O)n(-n2nc([H])nc2[H])c1[H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])[C@]([H])(c2c([H])nn(C([H])([H])[H])c2[H])C1([H])[H],9446,fegrow_gen/c1cc(C(=CC(=O)NO)N2CCN(C)[C@H](c3cnn(C)c3)C2)cn(-n2cncn2)c1=O.sdf,5.91552,-0.1482163543325466,402.269,11,2,-0.6803,True,False,True,False,7.37629089203919,126.34,0.3128464281920709,5,0.1482163543325466
[H]C(=C(C(=O)N(OC([H])([H])C#N)C([H])([H])C([H])([H])[C@]([H])(Oc1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])n1c([H])nc([H])c1[H])c1c([H])c([H])c(=O)n([H])c1[H],2949,fegrow_gen/c1cc(C=C(C(=O)N(OCC#N)CCC(Oc2ccc(C)c(C)c2)CCN2CCCCC2)n2ccnc2)c[nH]c1=O.sdf,6.54214,-0.4602923962160432,520.379,8,1,4.18382,True,False,True,False,8.54228638954755,116.48,0.2470649991560142,13,0.4602923962160432
[H]ON([H])C(=O)N(c1c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(N([H])C([H])([H])[H])C([H])([H])[H])c(=O)n(N([H])c2nc([H])c([H])s2)c1[H])[C@]1([H])C([H])([H])[C@]([H])(C([H])([H])OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])[C@]([H])(c2c([H])nn([H])c2[H])C1([H])[H],2961,fegrow_gen/c1([C@@H](C)[C@@H](C)NC)cc(N([C@H]2C[C@@H](c3cn[nH]c3)C(COCc3ccccc3)C2)C(=O)NO)cn(Nc2nccs2)c1=O.sdf,6.54036,-0.4972045218477952,568.449,10,5,4.2989,True,False,True,False,8.90715376209277,149.42999999999998,0.1184124734774162,12,0.4972045218477952
[H]c1nc([H])c(C([H])([H])OC2(c3c([H])c(Sc4c([H])c([H])c([H])c([H])c4[H])c([H])n([H])c3=O)C([H])([H])C2([H])[H])c([H])c1[H],13656,fegrow_gen/c1(C2(OCc3cccnc3)CC2)cc(Sc2ccccc2)c[nH]c1=O.sdf,5.35493,-0.35925588250396,332.299,4,1,4.127,True,False,False,False,7.75766597375694,54.98,0.7262470593150988,6,0.35925588250396
[H]OC(=O)[C@]([H])(c1c([H])c(Sc2c([H])c(Cl)c(Cl)c([H])c2C([H])([H])N([H])C([H])([H])C([H])([H])O[H])c([H])c(=O)n1[H])C([H])([H])C(=O)N([H])O[H],9401,fegrow_gen/c1c(Sc2c(CNCCO)cc(Cl)c(Cl)c2)cc([C@H](CC(=O)NO)C(=O)O)[nH]c1=O.sdf,5.92016,-0.3212467654616497,457.186,7,6,1.9785,True,False,True,False,7.97903730052022,151.74999999999997,0.1730705297559405,10,0.3212467654616497
