,Lib_size_0,Training_size_0,<-6_cnnaff_per_mw_0,Time_0,Avg_cnnaff_per_mw_0,Lib_size_1,Training_size_1,<-6_cnnaff_per_mw_1,Time_1,Avg_cnnaff_per_mw_1,Lib_size_2,Training_size_2,<-6_cnnaff_per_mw_2,Time_2,Avg_cnnaff_per_mw_2,Lib_size_3,Training_size_3,<-6_cnnaff_per_mw_3,Time_3,Avg_cnnaff_per_mw_3,Lib_size_4,Training_size_4,<-6_cnnaff_per_mw_4,Time_4,Avg_cnnaff_per_mw_4,Lib_size_5,Training_size_5,<-6_cnnaff_per_mw_5,Time_5,Avg_cnnaff_per_mw_5,Lib_size_6,Training_size_6,<-6_cnnaff_per_mw_6,Time_6,Avg_cnnaff_per_mw_6,Lib_size_7,Training_size_7,<-6_cnnaff_per_mw_7,Time_7,Avg_cnnaff_per_mw_7,Lib_size_8,Training_size_8,<-6_cnnaff_per_mw_8,Time_8,Avg_cnnaff_per_mw_8,Lib_size_9,Training_size_9,<-6_cnnaff_per_mw_9,Time_9,Avg_cnnaff_per_mw_9,Lib_size_10,Training_size_10,<-6_cnnaff_per_mw_10,Time_10,Avg_cnnaff_per_mw_10,Lib_size_11,Training_size_11,<-6_cnnaff_per_mw_11,Time_11,Avg_cnnaff_per_mw_11,Lib_size_12,Training_size_12,<-6_cnnaff_per_mw_12,Time_12,Avg_cnnaff_per_mw_12,Lib_size_13,Training_size_13,<-6_cnnaff_per_mw_13,Time_13,Avg_cnnaff_per_mw_13,Lib_size_14,Training_size_14,<-6_cnnaff_per_mw_14,Time_14,Avg_cnnaff_per_mw_14,Lib_size_15,Training_size_15,<-6_cnnaff_per_mw_15,Time_15,Avg_cnnaff_per_mw_15,Lib_size_16,Training_size_16,<-6_cnnaff_per_mw_16,Time_16,Avg_cnnaff_per_mw_16,Lib_size_17,Training_size_17,<-6_cnnaff_per_mw_17,Time_17,Avg_cnnaff_per_mw_17,Lib_size_18,Training_size_18,<-6_cnnaff_per_mw_18,Time_18,Avg_cnnaff_per_mw_18,Lib_size_19,Training_size_19,<-6_cnnaff_per_mw_19,Time_19,Avg_cnnaff_per_mw_19,Lib_size_20,Training_size_20,<-6_cnnaff_per_mw_20,Time_20,Avg_cnnaff_per_mw_20,Lib_size_21,Training_size_21,<-6_cnnaff_per_mw_21,Time_21,Avg_cnnaff_per_mw_21,Lib_size_22,Training_size_22,<-6_cnnaff_per_mw_22,Time_22,Avg_cnnaff_per_mw_22
0,15721,149,0,33.873682737350464,-0.013351276241538932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15721,149,0,33.873682737350464,-0.013351276241538932,15721.0,199.0,0.0,34.05365228652954,-0.01509839997597844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15721,149,0,33.873682737350464,-0.013351276241538932,15721.0,199.0,0.0,34.05365228652954,-0.01509839997597844,15721.0,249.0,0.0,34.45722317695618,-0.015624941536540704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15721,149,0,33.873682737350464,-0.013351276241538932,15721.0,199.0,0.0,34.05365228652954,-0.01509839997597844,15721.0,249.0,0.0,34.45722317695618,-0.015624941536540704,15721.0,299.0,0.0,34.86651635169983,-0.014324974043976615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15721,149,0,33.873682737350464,-0.013351276241538932,15721.0,199.0,0.0,34.05365228652954,-0.01509839997597844,15721.0,249.0,0.0,34.45722317695618,-0.015624941536540704,15721.0,299.0,0.0,34.86651635169983,-0.014324974043976615,15721.0,349.0,0.0,35.096054553985596,-0.016316618294429402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15721,149,0,33.873682737350464,-0.013351276241538932,15721.0,199.0,0.0,34.05365228652954,-0.01509839997597844,15721.0,249.0,0.0,34.45722317695618,-0.015624941536540704,15721.0,299.0,0.0,34.86651635169983,-0.014324974043976615,15721.0,349.0,0.0,35.096054553985596,-0.016316618294429402,15721.0,399.0,0.0,35.69947171211243,-0.015514672962547087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15721,149,0,33.873682737350464,-0.013351276241538932,15721.0,199.0,0.0,34.05365228652954,-0.01509839997597844,15721.0,249.0,0.0,34.45722317695618,-0.015624941536540704,15721.0,299.0,0.0,34.86651635169983,-0.014324974043976615,15721.0,349.0,0.0,35.096054553985596,-0.016316618294429402,15721.0,399.0,0.0,35.69947171211243,-0.015514672962547087,15721.0,449.0,0.0,36.11236906051636,-0.01675544975237239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15721,149,0,33.873682737350464,-0.013351276241538932,15721.0,199.0,0.0,34.05365228652954,-0.01509839997597844,15721.0,249.0,0.0,34.45722317695618,-0.015624941536540704,15721.0,299.0,0.0,34.86651635169983,-0.014324974043976615,15721.0,349.0,0.0,35.096054553985596,-0.016316618294429402,15721.0,399.0,0.0,35.69947171211243,-0.015514672962547087,15721.0,449.0,0.0,36.11236906051636,-0.01675544975237239,15721.0,499.0,0.0,36.39657664299011,-0.016761133235700495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15721,149,0,33.873682737350464,-0.013351276241538932,15721.0,199.0,0.0,34.05365228652954,-0.01509839997597844,15721.0,249.0,0.0,34.45722317695618,-0.015624941536540704,15721.0,299.0,0.0,34.86651635169983,-0.014324974043976615,15721.0,349.0,0.0,35.096054553985596,-0.016316618294429402,15721.0,399.0,0.0,35.69947171211243,-0.015514672962547087,15721.0,449.0,0.0,36.11236906051636,-0.01675544975237239,15721.0,499.0,0.0,36.39657664299011,-0.016761133235700495,15721.0,549.0,0.0,37.26719927787781,-0.016802374913818655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15721,149,0,33.873682737350464,-0.013351276241538932,15721.0,199.0,0.0,34.05365228652954,-0.01509839997597844,15721.0,249.0,0.0,34.45722317695618,-0.015624941536540704,15721.0,299.0,0.0,34.86651635169983,-0.014324974043976615,15721.0,349.0,0.0,35.096054553985596,-0.016316618294429402,15721.0,399.0,0.0,35.69947171211243,-0.015514672962547087,15721.0,449.0,0.0,36.11236906051636,-0.01675544975237239,15721.0,499.0,0.0,36.39657664299011,-0.016761133235700495,15721.0,549.0,0.0,37.26719927787781,-0.016802374913818655,15721.0,599.0,0.0,38.31494140625,-0.016653605474336086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
